date,estacion,VH_db,month,tipo,year,VH_z
2021-01-01,Cano Clarin,-16.501459736826977,1,manglar,2021,0.10194947656878428
2021-02-01,Cano Clarin,-17.150021677875824,2,manglar,2021,-0.29038796506936165
2021-03-01,Cano Clarin,-17.370702488489545,3,manglar,2021,-0.4238853832416359
2021-04-01,Cano Clarin,-17.417957758849347,4,manglar,2021,-0.4524717228083716
2021-05-01,Cano Clarin,-18.16967977738182,5,manglar,2021,-0.9072142460855438
2021-06-01,Cano Clarin,-17.24906833719778,6,manglar,2021,-0.35030469847856843
2021-07-01,Cano Clarin,-16.713415032070845,7,manglar,2021,-0.026269577024084525
2021-08-01,Cano Clarin,-17.52072925220329,8,manglar,2021,-0.5146417365322887
2021-09-01,Cano Clarin,-17.20177726187414,9,manglar,2021,-0.3216966992567992
2021-10-01,Cano Clarin,-17.14723128525291,10,manglar,2021,-0.28869996052646607
2021-11-01,Cano Clarin,-16.87791037672218,11,manglar,2021,-0.12577847293234654
2021-12-01,Cano Clarin,-17.278217051096444,12,manglar,2021,-0.3679377588144088
2022-02-01,Cano Clarin,-17.850224653398524,2,manglar,2022,-0.7139648459448046
2022-03-01,Cano Clarin,-17.81936574781499,3,manglar,2022,-0.695297231794001
2022-04-01,Cano Clarin,-17.43488312601646,4,manglar,2022,-0.4627104599787827
2022-05-01,Cano Clarin,-16.476122419220594,5,manglar,2022,0.11727689209918857
2022-06-01,Cano Clarin,-16.25800306130574,6,manglar,2022,0.24922479936873337
2022-07-01,Cano Clarin,-15.866485730722024,7,manglar,2022,0.4860671086627382
2022-08-01,Cano Clarin,-16.24158750362876,8,manglar,2022,0.25915513523092387
2022-09-01,Cano Clarin,-16.002072026095533,9,manglar,2022,0.4040462917119176
2022-10-01,Cano Clarin,-15.709731009842749,10,manglar,2022,0.5808934348190624
2022-11-01,Cano Clarin,-15.794018368739486,11,manglar,2022,0.529905110252093
2022-12-01,Cano Clarin,-15.54971190547687,12,manglar,2022,0.6776944989064903
2023-01-01,Cano Clarin,-15.138927028014814,1,manglar,2023,0.9261924104960391
2023-02-01,Cano Clarin,-15.815481474038938,2,manglar,2023,0.5169213390965129
2023-03-01,Cano Clarin,-16.576501550801225,3,manglar,2023,0.05655410035702328
2023-04-01,Cano Clarin,-16.41461155518505,4,manglar,2023,0.15448693095782007
2023-05-01,Cano Clarin,-15.413248588678476,5,manglar,2023,0.760245856304296
2023-06-01,Cano Clarin,-14.97224474719725,6,manglar,2023,1.0270242593655812
2023-07-01,Cano Clarin,-14.333695093677346,7,manglar,2023,1.4133049236545996
2023-08-01,Cano Clarin,-14.505733557172922,8,manglar,2023,1.3092329355233556
2023-09-01,Cano Clarin,-16.067331016858475,9,manglar,2023,0.36456888198538584
2023-10-01,Cano Clarin,-16.129909217772084,10,manglar,2023,0.32671317431148406
2023-11-01,Cano Clarin,-15.277771039666959,11,manglar,2023,0.8422008888376987
2023-12-01,Cano Clarin,-17.148037317498652,12,manglar,2023,-0.2891875571755394
2024-01-01,Cano Clarin,-17.709186009513502,1,manglar,2024,-0.6286457157095702
2024-02-01,Cano Clarin,-17.761344035853394,2,manglar,2024,-0.6601979011214909
2024-03-01,Cano Clarin,-17.510441092816812,3,manglar,2024,-0.5084180748010314
2024-04-01,Cano Clarin,-16.951660157850743,4,manglar,2024,-0.17039225400398983
2024-05-01,Cano Clarin,-17.96114222961961,5,manglar,2024,-0.7810627055831764
2024-06-01,Cano Clarin,-15.053720712388005,6,manglar,2024,0.9777366436195134
2024-07-01,Cano Clarin,-14.393521791765965,7,manglar,2024,1.3771136947462435
2024-08-01,Cano Clarin,-15.360007801292502,8,manglar,2024,0.7924530411416194
2024-09-01,Cano Clarin,-14.55313110198318,9,manglar,2024,1.2805605292444537
2024-10-01,Cano Clarin,-14.959246500775745,10,manglar,2024,1.034887346025505
2024-11-01,Cano Clarin,-15.17228649845272,11,manglar,2024,0.9060121185953988
2024-12-01,Cano Clarin,-16.072610259950856,12,manglar,2024,0.3613752861272921
